user,sum_score,mean_score,degree,closeness,betweenness,load,eigenvector,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved
sranders77,1.0006428297912815,0.11118253664347572,0.0006371455877668046,0.0,0.0,0.0,0.0,6.768143701227065e-06,3.034525766467355e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
pallo7777,1.000642605011595,0.11118251166795501,0.0,0.0,0.0,0.0,0.0,0.0,2.809746080062366e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
pdirubbo,1.000642530085033,0.11118250334278144,0.0,0.0,0.0,0.0,0.0,2.0304431103681193e-05,2.7348195179273694e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
narendrajrajput,1.0006424926217519,0.11118249918019465,0.0003185727938834023,0.0,0.0,0.0,0.0,1.353628740245413e-05,2.6973562368598713e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
LukasTaulbee,1.0006423615002682,0.11118248461114091,0.0,0.0,0.0,0.0,0.0,6.768143701227065e-06,2.5662347531236277e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
aiZfesoY,1.0006421929155034,0.11118246587950037,0.0003185727938834023,0.0,0.0,0.0,0.0,6.768143701227065e-06,2.3976499883198856e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
the_mehreen23,1.000641968135817,0.11118244090397966,0.0,0.0,0.0,0.0,0.0,0.0,2.172870301914896e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
LiveZones,1.0006416496979278,0.11118240552199198,0.0,0.0,0.0,0.0,0.0,0.0,1.8544324128411616e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
TheRealChaotix,1.0006416122346469,0.11118240135940521,0.0,0.0,0.0,0.0,0.0,1.353628740245413e-05,1.8169691317736632e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
skolliepops,1.0006413312600388,0.11118237014000432,0.0,0.0,0.0,0.0,0.0,0.0,1.5359945237674266e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
HallowKaz,1.0006413125283984,0.11118236805871093,0.0,0.0,0.0,0.0,0.0,3.384071850613532e-05,1.5172628832336775e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
ammarr_aripin,1.0006412937967577,0.11118236597741753,0.0,0.0,0.0,0.0,0.0,2.707257480490826e-05,1.4985312426999285e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
KalhanRan,1.0006411064803524,0.11118234516448361,0.0009557183816502069,0.0,0.0,0.0,0.0,6.768143701227065e-06,1.3112148373624375e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
seanspellman701,1.0006410502854308,0.11118233892060342,0.0,0.0,0.0,0.0,0.0,0.0,1.2550199157611902e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
James_Orcutt,1.0006410315537904,0.11118233683931004,0.0,0.0,0.0,0.0,0.0,2.0304431103681193e-05,1.236288275227441e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
7mmd2,1.0006409191639472,0.11118232435154968,0.0,0.0,0.0,0.0,0.0,0.0,1.1238984320249464e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
dopff73,1.0006408442373849,0.1111823160263761,0.0,0.0,0.0,0.0,0.0,0.0,1.04897186988995e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
adarshvarghese1,1.0006407693108228,0.11118230770120253,0.0003185727938834023,0.0,0.0,0.0,0.0,0.0,9.740453077549535e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
Alysone33580046,1.0006406943842607,0.11118229937602897,0.0,0.0,0.0,0.0,0.0,0.0,8.991187456199571e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
abhinavsarkaar,1.00064067565262,0.11118229729473555,0.0,0.0,0.0,0.0,0.0,0.0,8.80387105086208e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
roeravid,1.0006406569209796,0.11118229521344218,0.0,0.0,0.0,0.0,0.0,0.0,8.616554645524589e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
natipong_w,1.0006406569209796,0.11118229521344218,0.0,0.0,0.0,0.0,0.0,0.0,8.616554645524589e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
dyzzzo,1.0006405632627768,0.1111822848069752,0.0,0.0,0.0,0.0,0.0,0.0,7.679972618837133e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
akransu,1.0006404696045743,0.11118227440050826,0.0,0.0,0.0,0.0,0.0,0.0,6.743390592149678e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
ConnorRupertHS,1.0006404321412932,0.11118227023792146,0.0,0.0,0.0,0.0,0.0,0.0,6.368757781474696e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
vrmkalluri,1.0006404134096527,0.11118226815662807,0.0003185727938834023,0.0,0.0,0.0,0.0,0.0,6.181441376137204e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
Stefann1979,1.000640394678012,0.11118226607533467,0.0,0.0,0.0,0.0,0.0,0.0,5.994124970799714e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
bipolarminddrop,1.0006403384830906,0.11118225983145452,0.0003185727938834023,0.0,0.0,0.0,0.0,6.768143701227065e-06,5.43217575478724e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
AuguruVijay,1.0006402260932474,0.11118224734369415,0.0,0.0,0.0,0.0,0.0,0.0,4.3082773227622944e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
thedefendorf,1.0006402073616067,0.11118224526240075,0.0,0.0,0.0,0.0,0.0,0.0,4.1209609174248033e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
IrfanBablo,1.0006401886299663,0.11118224318110737,0.0,0.0,0.0,0.0,0.0,0.0,3.9336445120873123e-07,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
